0.595: [Full GC 0.595: [Tenured: 130K->130K(1408K), 0.0046229 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0046875 secs]
0.600: [Full GC 0.600: [Tenured: 130K->142K(1408K), 0.0042125 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042712 secs]
0.605: [Full GC 0.605: [Tenured: 142K->118K(1408K), 0.0044000 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044631 secs]
0.610: [Full GC 0.610: [Tenured: 118K->130K(1408K), 0.0041910 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042491 secs]
0.614: [Full GC 0.614: [Tenured: 130K->130K(1408K), 0.0046662 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0047297 secs]
0.619: [Full GC 0.619: [Tenured: 130K->142K(1408K), 0.0041787 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0043553 secs]
0.624: [Full GC 0.624: [Tenured: 142K->118K(1408K), 0.0045274 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0045930 secs]
0.629: [Full GC 0.629: [Tenured: 118K->130K(1408K), 0.0046690 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0047319 secs]
0.634: [Full GC 0.635: [Tenured: 130K->130K(1408K), 0.0043994 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044637 secs]
0.639: [Full GC 0.639: [Tenured: 130K->142K(1408K), 0.0041779 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042369 secs]
0.644: [Full GC 0.644: [Tenured: 142K->118K(1408K), 0.0046651 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0047302 secs]
0.649: [Full GC 0.649: [Tenured: 118K->130K(1408K), 0.0041994 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0042592 secs]
0.654: [Full GC 0.654: [Tenured: 130K->130K(1408K), 0.0043682 secs] 140K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044299 secs]
0.658: [Full GC 0.658: [Tenured: 130K->142K(1408K), 0.0044372 secs] 144K->142K(1984K), [Perm : 1336K->1336K(8192K)], 0.0044981 secs]
0.664: [Full GC 0.664: [Tenured: 142K->118K(1408K), 0.0045944 secs] 152K->118K(1984K), [Perm : 1336K->1336K(8192K)], 0.0046623 secs]
0.668: [Full GC 0.668: [Tenured: 118K->130K(1408K), 0.0042740 secs] 132K->130K(1984K), [Perm : 1336K->1336K(8192K)], 0.0043341 secs]
